,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014.0,2015.0,2016.0,2017.0,2018,2019,2020,2021,2022,2023,2024
Belgium,0.3,0.3,0.3,0.3,0.3,0.3,0.36,0.4,0.38,0.35,0.4,0.37,0.4,0.45,0.45,1.0,1.06,1.12,1.06,1.02,1,0.96,0.84,0.91,:
Bulgaria,:,6.6,4.9,5.3,5.1,3.3,2.82,2.25,2.09,1.6,2.61,2.6,2.1,1.9,1.95,1.87,2.88,1.69,1.96,1.77,1.46,1.39,1.78,1.85,:
Czechia,4.71,3.57,2.21,2.25,2.13,1.14,1.49,1.43,1.39,1.24,1.2,1.64,1.32,1.19,1.25,1.24,1.32,1.19,0.99,1.04,1.15,1.13,1,0.96,:
Denmark,0.3,0.3,0.3,0.4,0.4,0.4,0.4,:,:,0.3,0.28,0.31,0.4,0.37,0.44,0.49,0.83,0.89,0.58,0.53,0.54,0.75,0.61,0.75,:
Germany,6.9,6.5,6.4,7.2,7,6.1,6.39,6.3,6.77,6.24,6.13,9.92,9.29,8.73,9.01,8.54,9.22,9.57,8.61,9.04,9.02,8.68,8.32,8.08,:
Estonia,:,0.7,0.5,0.6,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.3,0.5,0.3,0.3,0.27,0.27,:,:,:,:,:,:,:
Ireland,1.08,1.05,0.92,0.92,0.92,0.84,0.84,0.84,0.84,0.92,0.92,0.92,0.74,0.74,0.72,0.72,0.72,0.71,0.71,0.71,0.69,0.68,0.65,0.67,:
Greece,8.64,7.72,7.8,8,7.9,7.9,7.4,7.9,7.41,6,6.76,6.21,5.87,5.87,5.65,3.94,3.34,3.07,3.37,2.79,2.85,2.46,1.92,3,:
Spain,4.5,5.4,5.6,3,3.9,4.6,5.45,5.69,:,:,5,6.01,4.72,5.59,4.51,5.0,4.74,4.7,4.4,4.48,4.6,4.71,4.92,4.46,:
France,1.1,1.1,1.1,1,1.2,1.1,1.1,1.2,1.2,:,4.91,1.7,0.92,0.91,0.84,0.86,0.84,0.84,0.79,0.82,0.86,0.85,0.75,0.85,:
Croatia,1.39,1.23,1.4,1.28,1.23,1.83,1.63,1.86,2.76,2.96,1.41,1.66,1.07,1.4,0.72,1.3,1.24,1.87,1.67,1.46,1.36,1.2,1.2,1.17,:
Italy,4.8,4.8,4.9,4.8,4.3,4.5,4.5,4.4,4.4,3.9,3.54,3.92,3.85,3.85,3.33,7.42,7.68,7.89,8.02,8,6.21,6.24,6.17,6.51,:
Cyprus,0,0,0,0,0.14,0.13,0.14,0.13,0.07,0.09,0.06,0.06,0.06,0.07,0.08,0.08,0.08,0.1,0.1,0.12,0.1,0.11,0.11,0.1,:
Latvia,2.3,3.7,3.1,3.2,3.5,3.1,3.7,2.4,2.5,2.5,:,1.1,0.9,0.9,0.8,0.9,0.7,0.5,0.7,0.67,0.6,0.6,0.6,0.7,:
Lithuania,:,:,:,6.33,4.99,5.12,3.77,3.03,3,2.77,2.25,2.53,2.18,2.14,2.09,1.74,1.91,1.7,1.86,1.88,1.83,1.71,1.64,1.65,:
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,:
Hungary,4,5,6.3,5.6,5.1,3.9,2.4,2.42,2.62,2.42,2.39,2.79,2.59,2.56,3.0,2.97,3.14,2.75,2.31,2.43,2.11,2.07,1.96,1.77,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Netherlands,1.7,1.6,1.7,1.7,1.6,1.5,1.67,1.65,1.73,1.66,1.61,1.69,1.64,1.67,2.81,2.61,2.77,2.98,2.54,2.68,2.71,2.55,2.58,2.49,:
Austria,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.83,0.79,0.84,1.04,1.05,0.99,0.94,0.95,0.88,0.8,0.75,0.69,0.73,0.77,0.78,0.82,0.77,:
Poland,48.4,46.3,27,31.8,32.3,35,33.9,28.44,25.34,26.27,29.39,26.6,25.7,20,24.8,24.9,20.93,21.44,22.07,21.8,13.7,14.6,14,13.7,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,2.47,3.03,3.24,3.44,2.84,3.73,2.69,2.78,3.1,3.9,4.17,4.23,3.5,:
Romania,20.32,20.8,21.31,23.16,24.26,36.75,31.87,27.48,30.56,29.81,28.14,28.26,30.59,34.29,28.18,29.07,27.59,27.53,28.68,28.74,19.11,19.45,18.93,19.02,:
Slovenia,0.75,0.74,0.69,0.83,0.7,0.7,0.81,0.71,0.84,0.84,0.58,0.58,0.61,0.63,0.65,0.62,0.66,0.66,0.64,0.61,0.64,0.59,0.55,0.45,:
Slovakia,0,0,0,0,0,0,1.08,0.74,0.67,0.56,0,0,0,0.46,0.45,0.38,0.46,0.43,0.38,0.43,0.32,0.44,0.25,0.25,:
Finland,0.6,0.6,0.6,0.6,0.6,0.6,0.51,0.53,0.57,0.62,0.59,0.61,0.55,0.56,0.59,0.58,0.58,0.6,0.58,0.62,0.62,0.58,0.57,0.5,:
Sweden,0.36,0.45,0.4,0.44,0.49,0.38,0.41,0.41,0.4,0.35,0.45,0.39,0.39,0.39,0.37,0.34,0.4,0.42,0.42,0.42,0.51,0.57,0.53,0.63,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,0,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.4,0.4,0.03,:,:
Norway,:,:,:,:,0.5,0.5,0.5,0.5,:,:,0.4,0.41,0.42,0.42,0.42,1.0,0.49,0.5,0.42,0.45,0.46,0.47,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.57,0.57,0.58,0.66,0.62,0.61,0.63,0.62,:,:,:
United Kingdom,9.2,8.7,9.4,:,:,:,:,:,:,:,3,3,3,3,2.0,7.3,7.0,7.4,5.7,5.4,:,:,:,:,:
Bosnia and Herzegovina,7.16,6.84,6.77,6.75,6.55,6.53,6.5,6.5,6.31,5.89,5.86,5.54,5.6,5.37,4.89,4.99,4.87,4.74,4.66,4.58,4.74,4.66,1.5,1.29,:
Montenegro,:,:,:,:,:,:,:,0.25,0.25,0.26,0.27,0.27,0.26,0.27,0.25,0.0,0.0,0.0,0,0,0,0,0,0,0
North Macedonia,3.6,3.6,:,:,:,3.54,3.57,4,4.15,4.49,4.7,4.63,4.8,5.77,5.87,6.1,5.79,5.74,5.74,5.9,5.71,5.52,5.35,4.82,:
Albania,:,:,:,:,:,:,:,:,1,0.68,1.65,1.8,1.9,:,1.5,1.46,1.9,1.8,1.7,2,1.8,1.99,1.97,1.9,:
Serbia,:,:,:,:,:,:,:,12.28,12,12.03,12.06,11.97,11.89,11.25,11.12,11.04,10.8,10.2,8.3,7.9,7.5,7.48,7.3,7.11,:
TÃ¼rkiye,:,21.2,17.6,17,17,16.7,16.5,15.4,16,:,:,15,15,15,14.0,25.0,25.0,24.0,23,24,23,23,22,:,:
Kosovo*,:,:,:,:,:,:,:,0.8,0.8,1.1,1,1,0.7,1,0.8,0.6,0.7,1.0,0.9,1,0.97,0.98,1,:,:
