,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011.0,2012.0,2013,2014,2015,2016.0,2017.0,2018.0,2019.0,2020,2021,2022,2023,2024
Belgium,277.1,246.8,264.3,255.4,266.3,268.2,272.7,272.1,291.4,345,242.96,327.68,341.8,337.9,333.58,341.64,337.02,305.43,304.52,313.11,304.34,310.2,323.07,321.19,:
Bulgaria,2000,2083.7,2131.6,1602.8,1824.3,1719.5,1543.9,1526.6,1705.7,1820.7,1758.35,1756.9,1893.3,1996.77,1949.66,1823.36,1804.65,1718.83,1806.78,1915.74,1953.69,1944.28,1890.08,1966.8,:
Czechia,1650.1,1623.6,1562.12,1459.7,1609.4,1611.6,1532,1579.8,1558.6,1541.7,1462.84,1479.48,1454.44,1413.14,1409.61,1389.83,1359.01,1354.68,1338.78,1352.53,1344.88,1345.84,1386.01,1317.2,1295.62
Denmark,1499.7,1538.1,1527.8,1484.6,1490.5,1508.5,1494,1448.3,1503.3,1487.7,1484.4,1491.4,1495.5,1426.1,1442.7,1454.4,1464.8,1442.8,1416.29,1373.66,1366.92,1359.58,1306.95,1234.53,1313.34
Germany,7015.7,7045.7,6941,6839.4,6946.9,6839,6702.2,6571.7,7038.5,6908.4,6595.45,6500.6,6527.3,6533.7,6468.6,6529.2,6325.0,6276.2,6148.9,6380.0,6074.9,6063.5,6112.5,6076.2,:
Estonia,328.8,274.1,259.2,263.2,260.8,281.9,280.1,292.1,309.1,316.3,275.3,297.0,290.5,311.1,332.9,350.4,351.4,330.68,350.43,364.36,370.12,367.12,361.82,352.15,:
Ireland,277.1,283.7,297.5,299.85,306.35,276.46,274.86,273.07,320.74,298.47,272.33,296.18,314.48,306.7,305.89,291.56,280.34,271.68,260.97,266.66,265.63,274.66,285.66,268.91,259.67
Greece,1200.94,1354.07,1283.2,1260.24,1237.76,1263.46,1043.6,1080.41,1108.8,1233.33,1031.74,931.5,952.72,1005.74,1003.57,926.68,952.81,808.22,757.63,698.29,703.79,736.01,744.49,537.56,552.35
Spain,6689.7,6311.9,6615.5,6508.6,6480.1,6479,6198,6142.7,6644.6,5954.1,5917.71,5863.12,6057.07,6155.89,6202.69,6086.57,6130.53,5907.63,5922.6,5872.34,5967.17,5949.9,5776.95,5398.34,5485.83
France,9054.9,8917.1,9309.6,8932.6,9328.9,9158,9030.8,9072.2,9645.8,9357,9211.12,9177.76,9371.06,9452.71,9575.01,9568.42,9513.27,9323.15,9042.03,9378.93,8912.36,9313.68,8993.25,8755.58,8534.67
Croatia,561.55,582.84,577.65,557.89,565.95,543.19,558.05,553,557.75,559.56,550.67,530.22,573.11,570.04,478.52,475.64,508.66,461.48,459.7,490.88,535.76,519.78,519.28,531.3,:
Italy,3913.2,3915.6,4065.8,3928.3,4049.1,3778.1,3575,3700.7,3814.3,3215.3,4058.2,2899.39,3342.71,3243.85,3173.42,2964.15,3022.86,2906.45,2875.5,2846.49,2784.41,2751.36,2792.21,2844.05,2669.44
Cyprus,51.5,56,57.6,72.75,66.4,62.15,59.22,43.56,38.7,31.16,32.89,35.92,37.82,30.76,25.3,32.85,23.8,20.22,24.01,23.07,26.52,26.15,24.58,23.4,24.28
Latvia,420,443.7,415,428.5,436.7,468.9,511.8,521.9,544.2,540.8,:,515.7,563.9,577.6,638.8,669.5,706.1,633.4,679.8,733.9,750,767.8,774.9,763.4,:
Lithuania,979.6,935.9,918,864.6,878.5,956.1,962.9,1003.3,1022,1103.5,1012,1064.7,1159.7,1213.4,1288.8,1329.12,1326.7,1199.51,1257.23,1349.57,1382.43,1356.51,1335.72,1338.39,1379.2
Luxembourg,28.6,28,29.4,28.9,27.9,28.5,28.8,28.5,31.1,30.4,29.71,28.79,27.84,29.07,28.4,29.29,27.86,27.96,26.31,27.39,25.48,26.3,27.74,26.72,:
Hungary,2760.5,3079,2952.2,2883.3,2998.9,2930.9,2835.8,2762.4,2905.7,2879.3,2592.88,2674.8,2754.97,2814.29,2814.86,2694.9,2563.85,2400.41,2365.03,2455.8,2334.66,2358.92,2244.78,2406.28,2288.58
Malta,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
Netherlands,226.4,235.7,233,225.7,222.9,221.7,219.3,222.1,243.3,228.4,220.2,212.0,213.0,210,192,195.6,179.16,161.93,166.38,178.16,172.27,169.73,185.4,186.37,:
Austria,829.9,824.3,814.1,809.8,815.8,796.1,776.8,811.2,841,835.1,811.79,807.27,811.51,784,809.11,780.7,784.31,776.18,778.94,776.4,764.87,747.46,754.95,742.45,723.69
Poland,8813.6,8820.2,8293.7,8163.3,8377.3,8328.9,8381.1,8352.9,8598.8,8582.8,7637.7,7803.0,7704.3,7479.5,7485,7511.8,7400.26,7602.0,7806.31,7891.43,7466.68,7451.27,7196.91,7188.21,7043.87
Portugal,560.92,473.81,494.92,429.53,440.53,369.09,349.41,285.79,340,312.76,276.22,252.79,257.79,284.93,274.44,241.71,230.2,209.61,202.38,195.48,189.89,179.88,170.91,156.99,161.61
Romania,5653.76,6293.77,6037.61,5541.71,6264.15,5861.85,5109.24,5121.44,5200.97,5269.73,5028.32,5212.17,5429.98,5409.87,5431.25,5460.08,5480.77,5186.37,5253.03,5565.08,5335.51,5351.51,5186.65,5236.48,5126.57
Slovenia,102.51,104.52,99.41,99.31,99.78,95.55,96.19,99.28,105.56,100.87,94.76,94.98,99.73,98.97,99.88,98.96,98.36,98.46,98.25,98.62,101.5,102.05,103.55,105.94,:
Slovakia,838.2,850.7,820.1,800.5,819.1,799.8,740,784.4,799.4,768,683.32,741.5,792.82,759.84,779.03,749.22,752.32,717.47,743.15,769.12,747.32,717.7,711.49,696.95,665.67
Finland,1166.7,1156,1190.4,1191.9,1221.2,1187.5,1152.6,1168.4,1251.3,1203.1,951.5,1042.3,1036.3,1099.7,1119,1017.5,998.1,864.56,906.8,946.5,951.6,953.8,952.25,908.13,907.93
Sweden,1207.7,1165,1115.8,1146.2,1116.3,1013.3,961.8,983.39,1078.68,1032.5,950.05,986.39,992.7,974.41,1023.64,1019.31,1004.68,993.1,922.11,977.05,993.34,983.34,953.47,950.87,1009.74
Iceland,:,:,:,:,:,:,:,:,:,:,:,4.2,4.2,:,:,0,2.0,2.0,1.5,2.0,2.8,2.6,3.16,:,:
Norway,330.6,328.1,326.8,326.7,328.1,324.9,318.2,311.9,308.7,:,301,299.0,294.0,286,283.7,282.7,285.1,286.79,279.98,275.55,280.22,283.5,:,:,:
Switzerland,:,:,:,:,:,:,161.9,157.6,153.3,152.8,151.51,145.27,146.42,:,:,:,144.02,143.25,141.64,141.36,144.45,141.62,141.89,141.29,137.38
United Kingdom,3348.1,3013.5,3245,3056.6,3130,2919.2,2863.9,2885.2,3274.3,3076,3013,3075.0,3142.0,3034.62,:,3099,3128.0,3181.4,3105.8,3210.86,3093.38,:,:,:,:
Bosnia and Herzegovina,366.12,363.67,344.86,317.76,327.03,319.88,313.63,324.05,323.34,311.21,293.1,303.05,305.06,304.9,290.08,301.57,313.59,313.98,317.78,311.24,321.32,317.64,199.28,191.35,:
Montenegro,:,:,:,:,:,:,:,1.26,1.3,1.34,1.26,2.04,2.02,2.15,2.36,2.3,2.37,2.42,2.45,2.43,2.3,2.28,2.3,:,:
North Macedonia,217,208,190,190.4,185.4,200.48,185.3,177.2,172.01,176.08,159.09,155.24,158.25,162.42,156.95,154.65,162.64,157.5,159.14,156.74,156.27,158.36,155.92,152.99,157.19
Albania,178.2,165.8,157.6,153.3,143.9,147.7,143.1,132.3,149.1,146.2,:,147.6,143.0,:,143.1,142.6,148.0,145.8,140.1,132.2,:,:,:,:,:
Serbia,:,:,:,:,:,:,:,1783,1824.13,1794.77,1785.4,1796.47,1715.33,1758.37,1816.68,1759.45,1758.0,1709.9,1712.9,1698.99,1740.46,1770.19,1724.74,:,:
TÃ¼rkiye,13896,13842.2,4401.2,17836.5,10752,6513.7,5933,12307.9,11890,:,23107,11804.0,11174.0,11430,11616,11597,11349.0,10998.0,10779.0,10647.0,11019,11008,11080,:,:
Kosovo*,:,:,:,:,:,:,:,102.4,115,120,119.9,121.1,137.2,141.9,132.9,134.9,134.6,120.7,123.9,124.2,:,124.48,124.62,:,:
