,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,0.2,0.3,0.3,0.4,0.4,0.5,0.49,0.5,0.51,0.57,0.68,0.74,0.71,0.65,0.65,0.7,0.82,0.81,0.86,0.81,0.75,0.72,0.71,0.74,:
Bulgaria,0,0,0,0,0,0,0.14,0.17,0.18,0.19,0,0,0,0.2,0.12,0.16,0.19,0.11,0.11,0.11,0.22,0.13,0.17,0.16,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,:,:,0.04,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.08,0.05,0.06,0.04,:
Germany,:,0.8,0.7,0.7,0.9,1,0.95,0.93,1.03,1.04,1,1.02,1.06,1.07,1.03,1.14,1.1,1.17,1.17,1.21,1.24,1.3,1.17,1.21,:
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0.01,0.01,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.05,0.06,0.05,0.05,0.05,:
Greece,3.82,3.94,4,3.9,3.9,3.9,4,4.1,3.9,3.4,3.55,3.11,3.25,3.49,3.57,2.93,2.83,2.87,2.68,2.24,2.24,2.17,1.86,2.29,:
Spain,6.3,5.6,6.2,6.4,6.5,6.9,7.12,6.72,:,:,7.62,8.14,8.88,9.58,10.05,10.72,11.08,11.22,11.11,10.85,11.09,11.64,11.25,11.61,:
France,3.3,3.3,3.4,3.3,2.9,2.9,2.9,3.1,3.3,:,3.41,3.05,2.73,3.08,3.1,2.97,3.09,2.95,2.99,3.17,4.63,4.45,4.4,4.31,:
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.11,0.12,0.17,0.15,0.23,0.16,0.21,0.25,0.2,0.25,:
Italy,14.6,15.3,16.2,16.6,16.7,16.7,17.3,17,16.6,13.5,17.28,14.29,13.04,13.42,18.94,17.14,19.23,18.74,18.67,19.08,20.15,19.95,19.05,18.93,:
Cyprus,0,0,0,0,0.16,0.16,0.15,0.17,0.13,0.11,0.11,0.11,0.14,0.12,0.11,0.13,0.14,0.12,0.1,0.11,0.12,0.12,0.12,0.14,:
Latvia,0,0.2,0.2,0.3,0,0.2,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0.08,:
Lithuania,:,:,:,0.12,0.07,0.13,0.08,0.11,0.1,0.09,0.12,0.12,0.12,0.11,0.1,0.08,0.11,0.12,0.13,0.13,0.16,0.18,0.21,0.4,:
Luxembourg,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,:
Hungary,:,:,:,:,:,:,:,:,:,0.55,0.08,0.13,0.12,0.21,0.23,0.58,0.62,0.87,0.71,0.64,0.84,0.7,0.65,0.75,:
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0.16,0.2,0.23,0.25,0.26,0.27,0.26,0.25,0.29,0.31,0.35,0.37,0.47,0.41,0.41,0.44,0.43,0.36,:
Austria,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.12,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.16,0.17,0.17,0.17,0.17,0.17,0.19,0.18,:
Poland,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0.6,0.6,0.68,0.75,0.86,0.8,0.7,0.9,1,1.1,:
Portugal,:,:,:,:,:,:,:,:,:,:,:,0.49,0.38,0.5,0.62,0.45,0.57,0.46,0.46,0.39,0.77,0.76,0.56,0.77,:
Romania,0,0,0,0,0.29,0.19,0.2,0.19,0.17,0.14,0.28,0.18,0.14,0.12,0.14,0.12,0.1,0.08,0.14,0.11,0.1,0.07,0.08,0.1,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0.12,0.13,0,0.11,0.09,0.14,0.13,0.13,0.26,0.28,0.26,0.27,0.22,:
Slovakia,0,0,0,0,0,0,0.05,0,0.03,0.03,0,0,0,0.01,0.02,0.03,0.02,0.01,0,0.07,0.14,0.08,0.15,0.08,:
Finland,0,0,0,0,0,0,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.04,0.05,:
Sweden,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.06,0.05,0.05,0.06,:
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,:,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,0,0,0,0,0,:,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.28,0.28,0.3,0.31,0.33,0.31,0.3,0.32,:,:,:
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.8,0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.13,0.16,0.16,0.16,0.15,0.18,0.17,0.03,0.01,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,:,:,:,:,:,:,:,:,0.3,0.4,0.5,0.4,0.4,:,:,0,0.6,0.5,0.6,0.7,0,0.89,0.86,0.8,:
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TÃ¼rkiye,:,11.9,10.7,11.3,11.5,10.8,11,9.8,10,:,:,63,64,65,69,9,10,11,10,10,10,10,10,:,:
Kosovo*,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.5,0.7,0.8,0.9,0.9,0.9,0.91,:,:
