,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018.0,2019,2020.0,2021,2022,2023,2024
Belgium,:,:,:,:,:,:,:,:,:,62.7,:,62.2,61.2,59.8,58.6,52.35,55.54,62.47,62.7,57.61,56.75,55.19,53.26,55.34,57.89
Bulgaria,2.2,1.3,2.2,0.4,1.1,1.3,1.4,1.3,0,0,0,0,0,0,0,0.01,0,0,0.0,0,0.0,0,0,0,0
Czechia,61.3,77.7,77.5,77.3,71.1,65.6,61,54.3,50.4,52.5,56.39,58.33,61.16,62.4,62.96,57.61,60.74,66.1,64.76,59.21,59.68,61.23,58.24,58.8,65.91
Denmark,59.2,56.3,57.8,49.6,48.7,47,41.4,39.4,36.4,38,39.2,40,40.8,38,38,36,33.1,34.4,34.3,29,33.2,33.2,31.7,30.5,31.7
Germany,452,447.7,459.4,445.6,440.5,420.1,357.6,402.7,369.3,383.6,364.12,398.1,402.1,357.4,372.5,312.8,334.5,406.7,413.9,408.7,386.0,390.7,396.3,395.8,421.6
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
Ireland,32.2,31.1,31.3,31.51,31.13,31,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
Greece,50.13,43.37,41.43,39.16,33.45,42.49,26.92,13.61,14.1,14.06,17.06,5.51,8.05,5.81,7.87,5.18,5.46,6.5,1.43,1.61,1.74,0.48,0.09,0.13,0.12
Spain,125.3,106.9,113.8,99.8,103.1,102,85.5,68.2,52.3,49.8,43.38,44.93,38.95,32.05,38.41,37.61,32.87,36.67,35.3,30.18,27.62,29.5,24.78,35.6,40.81
France,409.7,429.2,437.7,399.8,384.6,378.5,379.3,393.5,349.3,372.6,383.76,391.19,382.68,393.6,407.15,385.08,404.99,486.1,485.85,446.6,420.67,407.89,401.61,380.41,398.29
Croatia,20.99,23.76,25.15,27.33,26.5,29.37,31.88,34.32,22,23.07,23.83,21.72,23.5,20.25,21.9,13.88,15.49,19.53,14.07,11.58,10.46,10.07,8.89,8.01,11
Italy,249.2,222.6,245.7,214.2,185.8,253,91.2,85.6,61.8,60.6,62.67,62.24,45.55,40.71,51.99,38.12,32.3,37.97,34.41,29.97,27.27,27.91,25.79,21.3,23.6
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
Latvia,12.7,14.1,15.9,14.4,13.8,13.5,12.7,0.3,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
Lithuania,27.7,26.5,29.2,25.6,23.3,21,18.5,16.9,8.7,15.1,15.3,17.6,19.2,17.7,17,12.24,15.15,17.15,15.54,14.12,13.99,14.68,11.65,14.42,13.7
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.03,:
Hungary,57.5,65.7,55.4,51.6,61.9,61.6,46.8,41.2,9.6,13.8,13.86,15.15,18.72,18.82,15.42,15.51,16,18.65,15.77,14.08,12.91,12.02,9.71,14.38,16.38
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
Netherlands,111,109.1,108.9,102.8,97.7,91.3,82,82.1,72.2,72.7,70.56,73.33,73,73,75,58.43,70.72,85.35,85.2,79.18,81.46,80.69,81.8,80.44,85.52
Austria,42.8,44.7,44.7,43.2,44.7,44.2,39.4,42.3,43,43.9,44.84,46.58,49.26,50.85,50.6,45.44,43.5,42.68,31.25,27.88,26.32,37.85,33.99,35.68,44.47
Poland,333.1,317.4,303,286.3,297.3,286.2,262,247.4,187.5,199.9,206.4,203.5,212,193.7,197.64,180.1,203.4,231.72,238.92,240.78,245.72,250.57,221.77,260.76,254.9
Portugal,7.89,5.37,9.04,7.49,8.36,8.62,4.28,2.91,1.59,0.14,0.16,0.32,0.37,0.38,0.35,0.1,0.1,0.11,0.0,0,0.0,0,0,0,0
Romania,48.37,39.03,41.63,45.19,20.83,25.22,39.81,28.73,20.45,21.33,22.03,18.82,27.3,28.14,31.28,26.6,24.92,28.2,25.72,22.73,21.33,19.64,8.89,12.9,22.74
Slovenia,8.12,4.7,4.45,5.36,4.66,5.06,6.68,0,0,0,0,0,0,0,0,0,0,0,0.0,0.18,0.11,0.13,0.07,0.11,:
Slovakia,32.2,30.9,30.2,31.9,35.2,33.1,27.7,18.9,11.1,15.9,17.93,18.1,19.74,20.33,22.21,21.52,21.48,22.38,21.91,21.72,21.08,21.8,19.48,22.13,23.75
Finland,32.1,31.1,30.6,28.8,30.7,31.3,23.9,16,13.6,14.8,14.6,14.1,11.5,12,13.7,12.4,11.6,11.8,9.8,10.5,11.0,11.33,8.82,10.93,14.4
Sweden,55.5,54.8,54.8,50.1,47.6,49.2,44.2,40.7,36.8,39.8,37.95,39.64,39,36.23,34.26,19.38,30.6,30.99,30.64,27.16,29.75,28.6,29.24,28.82,28.46
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0.0,0,0.0,0,0,0,0
Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0.0,0,0.0,0,0,0,:
Switzerland,:,:,:,:,:,:,18.8,20.7,20.3,:,18.07,19.38,19.28,19.97,21.04,19.75,19.17,19.14,18.58,17.78,17.6,16.19,15.69,16.42,:
United Kingdom,172.9,177.4,169.1,162.1,153.9,148.3,130.1,125,119.7,114,118,113,120,117,116,90,86,111,114.2,107.8,112.0,:,:,:,:
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
Montenegro,:,:,:,:,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
North Macedonia,2,1.7,1.5,1.3,1.5,1.59,0.01,0.24,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
Albania,1.4,1.3,1.2,0,0,0,0,0,0,:,:,:,:,:,:,0,0.7,0,0.7,0.8,0.84,0.8,0.7,0.6,:
Serbia,:,:,:,:,:,:,:,84.09,51.26,65.35,70.97,59.22,69.07,66.53,64.11,42.12,49,53.9,48.13,42.54,37.42,39.41,34.73,41.67,46.84
TÃ¼rkiye,410,358.8,371.8,315.3,315.3,335.8,325,300,322,:,39,297,281,291,289,274,322,339,307.0,313,339.0,287,276,:,:
Kosovo*,:,:,:,:,:,:,:,:,:,:,:,3.7,:,:,:,:,:,:,0.0,:,0.0,0,0,:,:
